rank,city,score,dataConfidence,infrastructure,safety,usage,connectivity,policy,comfort,cycleNetworkEquivalentNormalized,pedestrianAreasNormalized,roadVictimsNormalized,motorizationRateNormalized,publicTransportPassengersNormalized,publicTransportOfferNormalized,ztlNormalized,nitrogenDioxideNormalized,pm10Normalized,pm25Normalized,ozoneNormalized,fiabBikeSmileNormalized,bikeModalSharePercentNormalized,externalPolicyScoreNormalized
19,Belluno,41.38,100,28.15,73.51,,10.01,,48.61,33.99,4.8,89.93,43.01,10.6,16.75,0,50.3,40.86,21.22,90,,,
20,Vercelli,40.55,100,34.21,61.99,,7.49,,36.43,42.76,0,71.65,44.06,1.58,6.84,14.32,51.82,25.99,38.87,23.33,,,
21,Grosseto,40.54,100,40.75,42.18,,8.1,,68.15,48.86,8.29,41.27,43.87,2.14,10.57,10.61,92.19,34.62,47.36,100,,,
22,Brescia,40.43,100,28.78,59.89,,32.24,,24.66,34.87,4.4,61.5,56.91,34.2,32.98,29.25,32.91,6.58,27.7,31.11,,,
23,Pisa,40.22,100,33.48,36.38,,45.48,,51.22,40.01,7.38,25.09,57.35,6.72,47.42,81.51,51.82,30.97,32.61,98.89,,,
24,Pordenone,40.19,100,33.61,56.31,,17.52,64.5,33.51,41.42,2.39,66.65,37.11,3.62,19.32,28.9,29.69,28.31,7.87,77.78,75,,
25,Bologna,39.18,100,27.8,51.26,,39.18,88.34,31.68,33.68,4.29,36.66,78.37,40.9,35.77,42.23,35.22,33.75,14.24,45.56,100,,66.7
26,Piacenza,38.53,100,35.38,48.61,,15.67,64.5,26.78,42.03,8.8,45.24,54.88,17.98,25.22,0,47.41,18.49,31.75,0,75,,
27,Modena,38.16,100,37.16,41.06,,21.03,,23.19,45.48,3.86,38.38,46.04,17.51,23.46,21.14,29.72,10.41,27.15,24.44,,,
28,Udine,38.05,100,24.51,65.7,,14.56,,43.65,30.44,0.81,76.85,44.99,9.97,25.85,3.36,50.55,34.76,30.28,61.11,,,
29,Aosta,38.01,100,21.04,62.51,,30.2,,46.71,26.08,0.86,71,46.75,3.51,29.94,57.27,47.99,44.93,27.43,71.11,,,
30,Lucca,37.91,100,31.65,47.7,,17.25,,51.38,14.56,100,52.19,39.35,4.26,16.89,30.75,53.13,26.02,35.76,100,,,
31,Forlì,37.67,100,32.08,50.72,,14.41,,35.73,39.25,3.38,51.51,49.25,9.58,18.32,13.76,43.99,30.98,12.06,58.89,,,
32,Massa,37.34,100,44.42,22.83,,8.4,,63.25,54.95,2.28,9.83,46.96,2.7,18.47,0,67.45,36.21,55.83,100,,,
33,Oristano,36.94,100,19.39,65.85,,10.26,,84.77,22.96,5.11,82.45,35.01,3.54,22.4,0,100,100,39.08,100,,,
34,Vicenza,36.86,100,26.5,60.33,,13.76,,29.32,32.32,3.22,64.51,52.56,13.85,23.52,0,43.94,0.49,36.51,34.44,,,
35,Catanzaro,36.33,100,12.05,76.24,,11.34,,90.79,15.06,0,97.54,36.69,4.38,24.41,0,100,100,63.17,100,,,
36,Ravenna,36.14,100,34.64,38.14,,14.44,86,42.35,40.92,9.5,40.31,34.1,8.32,16.11,18.22,51.68,22.96,20.41,80,100,,
37,Rovigo,36.01,100,24.96,61.66,,10.44,,30.89,24.23,27.9,72.22,42.05,1.84,16.76,10.18,46.91,3.97,47.28,20,,,
38,Firenze,35.41,100,23.26,37.68,,48.04,,43.02,24.83,17,17.99,74.24,37.29,38.35,72.34,23.61,24.58,39.16,100,,,
39,Bolzano,35.29,100,32.66,37.77,83.33,16.9,86,39.65,39.79,4.14,32.94,46.75,10.48,22.13,16.01,32.12,42.67,14.28,78.89,100,83.33,
40,Gorizia,35.16,100,15.68,72.91,,10.87,,49.21,18.59,4.04,88.24,44.45,2.09,14.26,14.89,58.33,42.3,32.11,65.56,,,
41,Trento,35.1,100,15.84,66.59,,27.28,64.5,28.82,19.2,2.39,77.27,46.75,23.79,39.19,14.1,23.9,33.81,3.02,62.22,75,,
42,Cagliari,34.17,100,10.87,69.7,,27.73,,43.01,12.69,3.61,83.42,44.21,31.81,44.63,0,53.13,5.52,25.41,96.67,,,
43,Terni,34.17,100,17.7,60.13,,18.66,,49.74,21.04,4.35,69.82,42.13,6.6,22.75,24.98,56.73,17.07,33.83,100,,,
44,Lecco,34.05,100,23.61,56.13,,9.05,,37.1,29.01,2.02,54.49,59.17,4.5,18.76,0,37.63,42.61,40.2,25.56,,,
45,Pavia,33.98,100,20.85,48.71,,34.51,,24.02,24.44,6.49,40.44,64.06,28.94,29.89,46.54,33.48,12.43,31.93,14.44,,,
46,Milano,33.57,100,11.35,50.22,,63.24,,17.06,11.86,9.3,32.64,82.87,68.94,100,6.09,10.04,12.21,37.74,7.78,,,
47,Torino,33.35,100,16,56.74,,32.27,43,26.42,17.62,9.5,64.11,43.05,37.67,38.84,17.68,10.81,4.89,51.37,45.56,50,,
48,Trieste,33.35,100,8.07,65.64,,37.49,,45.67,8.19,7.57,60.83,74.58,51.06,54.58,0,41.95,40.24,28.98,78.89,,,
49,Caserta,33.07,100,3.06,84.33,,18.89,,52.5,3.57,1.01,100,55.22,1.15,10.41,48.49,41.41,17.33,62.99,100,,,
50,Crotone,32.69,100,9.11,70.27,,5.69,,94.29,10.82,2.26,80.31,51.63,0.28,13.62,0,100,100,77.17,100,,,
